"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Bluzka z modalu z wiązaniem;10;"99.9";"Tkaninowa bluzka z mieszanki modalu i bawełny z wiązaniem u dołu. Okrągły dekolt, na karku rozcięcie z krytym guzikiem. Długie rękawy z zapinanym mankietem. Bez podszewki";"http://lp2.hm.com/hmgoepprod?set=source[/47/bb/47bb83dc4aa67fb6e13ad48940bf3a4bb3ea71d7.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/54/2c/542c745f6c3d80601cee87dbc0a744719dba5f6b.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/63/ab/63ab4d89d4006a9db41b5124c58c0fa75986d1e7.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Cienki sweter;10$18;"99.9";"Szeroki cienki sweter z miękkiej dzianiny. Dekolt w serek, obniżone ramiona, ściągacz wokół rękawów i u dołu. Prosty dół z rozcięciami po bokach i nieco dłuższy tył";"http://lp2.hm.com/hmgoepprod?set=source[/50/61/5061d077d99527196ab060d7035f5c8517cdd8da.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/3e/55/3e551e28a74eb73f1e5b894132c6c4d8b0f9bb37.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/6c/94/6c9428639bdef2a7f140e206ad647b86fd9d1a29.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Wide High Waist Jeans;10$23$24;"149.9";"Szerokie dżinsy ze spranego denimu z wyjmowanym paskiem do wiązania. Wysoka talia ze szlufkami, kryty suwak. Kieszenie z przodu i z tyłu. Proste nogawki rozszerzane u dołu";"http://lp2.hm.com/hmgoepprod?set=source[/37/e9/37e98396e212230dfeb42355c953c8c5668b7676.jpg],origin[dam],category[ladies_jeans_loose],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/a1/bc/a1bcf1591bb6c1fc7504354c1f9455661e1a38f7.jpg],origin[dam],category[ladies_jeans_loose],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/c8/3d/c83d76d213a01bff0065506fa5813df46da76ecb.jpg],origin[dam],category[ladies_jeans_loose],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Kurtka z futerkowego materiału;10$21$22;"199.0";"Kurtka z miękkiego materiału futerkowego z wysoką stójką. Zapięcie na kryty suwak, po bokach kieszenie. Wewnętrzny ściągacz przy rękawach. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/c9/5e/c95e01683170f6031d30b4b5f5d796e5bae55192.jpg],origin[dam],category[ladies_jacketscoats_jackets],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/1b/65/1b659249e9e7bd1d0a8427239d16bb2ab28e6ab6.jpg],origin[dam],category[ladies_jacketscoats_jackets],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/94/86/948678ce22f981127701ef86117d2be9f18b2483.jpg],origin[dam],category[ladies_jacketscoats_jackets],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Sukienka z półgolfem;10$27;"59.9";"Podkreślająca figurę sukienka z miękkiego dżerseju w prążki. Długie rękawy, półgolf wokół szyi";"http://lp2.hm.com/hmgoepprod?set=source[/ac/b4/acb445dcb832b42c2dbbdff19f4a953611bc45de.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/91/c3/91c31423fd62a5b2c5e75c2f246d9d4a07b0a0b7.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/b6/31/b631485338b2887f75362a49a9b1403f19f0ff9d.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Skinny Low Jeans;10$23$24;"79.9";"Dżinsy z 5 kieszeniami ze spranego, elastycznego denimu. Niska talia, rozporek na suwaki i guzik, obcisłe nogawki";"http://lp2.hm.com/hmgoepprod?set=source[/8e/b1/8eb10dea80e6e3696b1d3fdc5f0854d118ea1b24.jpg],origin[dam],category[ladies_jeans_skinny_skinnylow],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/68/37/6837bb8e88be45eba2c9ca067d443c00178146cf.jpg],origin[dam],category[ladies_jeans_skinny_skinnylow],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/de/19/de1974dbada0bdbb12ee019c1516d81c7cf08060.jpg],origin[dam],category[ladies_jeans_skinny_skinnylow],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Koronkowa sukienka;10$27;"279.0";"Koronkowa sukienka do połowy łydki. Bardzo wąskie regulowane ramiączka, dekolt w serek. Odcinana talia z krytym suwakiem i rozszerzany dół. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/b3/ef/b3efeea27a7cded9f53aa8e949ce02c8312719c9.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/81/3f/813f4ba5b6d331f6f7369cceb6ae58a1bfdb3e73.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/09/fe/09fe84c4448f7d02fbe50b4b4d4874a11b832a3b.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Czapka bosmanka;10$30;"59.9";"Czapka bosmanka z tasiemką z przodu. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/0c/a3/0ca3d8f95232a624698bdbcb26beb9e9dafd9993.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/9a/cc/9acc6826f3b452f0cd5c1a6bc65dfda39354c0ba.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/4b/70/4b703ea8ac6c8fa4f920c87a45d5d43b1b1eb209.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main";100
1;Bawełniana bluzka z dekoltem;10$17;"79.9";"Bluzka z cienkiej kreszowanej wiskozy z szerokim dekoltem i szerokimi rękawami. U góry elastyczny brzeg i koronkowe wstawki z przodu. Elastyczne marszczenie i falbana u dołu rękawów i u dołu bluzki";"http://lp2.hm.com/hmgoepprod?set=source[/71/d7/71d74f835dc46bdfc5f6cde16649dde345b3be40.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/31/38/3138a4d260bec9888574c541e1f47a3caa76f339.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main"$"http://lp2.hm.com/hmgoepprod?set=source[/d9/87/d98741c6620f69198cf1cf4d9f4cb536a8b56a91.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[LOOKBOOK],hmver[1]&call=url[file:/product/main";100
1;Spódnica dżinsowa;10$26;"139.9";"Krótka spódnica z 5 kieszeniami z elastycznego denimu z detalami zużycia. Na całym przodzie ćwieki i plastikowe koraliki. Rozporek na guzik i suwak";"http://lp2.hm.com/hmgoepprod?set=source[/b7/f0/b7f0b56fa30d13df6d2b10fbd6c17ac7e1ff2d1d.jpg],origin[dam],category[ladies_skirts_shortskirts],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main";100
