Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja)
30;Rozmiar:rozmiar:0; 32:0
30;Rozmiar:rozmiar:0; 34:0
30;Rozmiar:rozmiar:0; 36:0
30;Rozmiar:rozmiar:0; 38:0
30;Rozmiar:rozmiar:0; 40:0
30;Rozmiar:rozmiar:0; 42:0
30;Rozmiar:rozmiar:0; 44:0
30;Rozmiar:rozmiar:0; 46:0
30;Rozmiar:rozmiar:0; 48:0
30;Rozmiar:rozmiar:0; 50:0
31;Rozmiar:rozmiar:0; 32:0
31;Rozmiar:rozmiar:0; 34:0
31;Rozmiar:rozmiar:0; 36:0
31;Rozmiar:rozmiar:0; 38:0
31;Rozmiar:rozmiar:0; 40:0
31;Rozmiar:rozmiar:0; 42:0
31;Rozmiar:rozmiar:0; 44:0
31;Rozmiar:rozmiar:0; 46:0
31;Rozmiar:rozmiar:0; 48:0
31;Rozmiar:rozmiar:0; 50:0
32;Rozmiar:rozmiar:0; 32:0
32;Rozmiar:rozmiar:0; 34:0
32;Rozmiar:rozmiar:0; 36:0
32;Rozmiar:rozmiar:0; 38:0
32;Rozmiar:rozmiar:0; 40:0
32;Rozmiar:rozmiar:0; 42:0
32;Rozmiar:rozmiar:0; 44:0
32;Rozmiar:rozmiar:0; 46:0
32;Rozmiar:rozmiar:0; 48:0
32;Rozmiar:rozmiar:0; 50:0
33;Rozmiar:rozmiar:0; 32:0
33;Rozmiar:rozmiar:0; 34:0
33;Rozmiar:rozmiar:0; 36:0
33;Rozmiar:rozmiar:0; 38:0
33;Rozmiar:rozmiar:0; 40:0
33;Rozmiar:rozmiar:0; 42:0
33;Rozmiar:rozmiar:0; 44:0
33;Rozmiar:rozmiar:0; 46:0
33;Rozmiar:rozmiar:0; 48:0
33;Rozmiar:rozmiar:0; 50:0
34;Rozmiar:rozmiar:0; 32:0
34;Rozmiar:rozmiar:0; 34:0
34;Rozmiar:rozmiar:0; 36:0
34;Rozmiar:rozmiar:0; 38:0
34;Rozmiar:rozmiar:0; 40:0
34;Rozmiar:rozmiar:0; 42:0
34;Rozmiar:rozmiar:0; 44:0
34;Rozmiar:rozmiar:0; 46:0
34;Rozmiar:rozmiar:0; 48:0
34;Rozmiar:rozmiar:0; 50:0
35;Rozmiar:rozmiar:0; Jeden rozmiar:0
36;Rozmiar:rozmiar:0; 32:0
36;Rozmiar:rozmiar:0; 34:0
36;Rozmiar:rozmiar:0; 36:0
