"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilosc"
1;Płaszcz z domieszką wełny;10;"799.0";"CONSCIOUS EXCLUSIVE. Długi dwurzędowy płaszcz trapezowy z domieszką wełny z recyklingu. Duże klapy, z przodu obciągane guziki i kieszenie z klapką oraz kieszenie po bokach. Długie rozcięcia po bokach. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/79/fc/79fc745236c40881179eee8461ec89729b26c82b.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/e6/4f/e64ff996938da53d2d7913f4e80e38077cb09314.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/15/26/1526c272ed730b8db2a4422cd2e4374b91bca73c.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Ocieplana parka;10$22$21;"199.0";"Krótka parka z bawełnianej tkaniny. Kaptur z odpinanym obszyciem z imitacji futra i z podszewką. Zapięcie na suwak i listwę z krytymi zatrzaskami. Sznurek w talii i u dołu. Z przodu kieszenie z kontrafałdą, klapką i zatrzaskiem. U dołu rękawów patka z zatrzaskiem, z tyłu rozcięcie. Z podszewką z futerkowego materiału";"http://lp2.hm.com/hmgoepprod?set=source[/12/24/122484d7474c908c77fd8237800d68343b693c8c.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/d6/0a/d60afb7efa3c893fabeadc3786f2b2b2407d3902.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/62/9c/629c24d65b9471b1794f4d809dca7d8f594c53cf.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;Wzorzysta sukienka;10$27;"129.9";"Krótka sukienka z krepowanej tkaniny. Na plecach dekolt w serek z wiązaniem na karku. Długie rękawy z wiązaniem u dołu. Elastyczne marszczenie w talii i rozszerzany falbaniasty dół. Dół z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/1f/f0/1ff0809787e074d63aa820af9480dccca0e30278.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/e0/d8/e0d8d8603f854e0ee7833fca88d48862a291d1a1.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/83/ba/83bae3b500303ec3f86912674ce11f995fd2ae8b.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Płaszcz z domieszką wełny;10$22$21;"399.0";"Podkreślający figurę filcowy płaszcz z miękkiej mieszanki zawierającej wełnę. Kołnierz i klapy, z przodu kryte zatrzaski. Wyjmowany pasek wiązany w talii. Kieszenie w szwie bocznym, rozcięcie z tyłu. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/2d/22/2d22aa070b1bc671ef11d8af8fce76b53b8a4725.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/b1/a9/b1a9c390d6344ff6240e7834cada651f1be7299d.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/32/0a/320a7052f0fec929f9672d4bffd4abcce5d7772a.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Długi płaszcz pluszowy;10;"299.0";"Długi płaszcz z futerkowego materiału. Otwarte wąskie klapy, zapięcie na kryte zatrzaski, kieszenie w szwach bocznych. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/46/72/4672e2cac0455388adf3fd332c52d2582110d238.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/87/d6/87d6bbbb45f682c0bcc99a885b1670285e2e0f46.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/4a/f4/4af457dee95174b627c7bae76b8941f9218a1e76.jpg],origin[dam],category[],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Kaszmirowe joggersy;10$38$23;"399.0";"JAKOŚĆ PREMIUM. Joggersy z cienkiej dzianiny z miękkiego kaszmiru. Elastyczna talia ze sznurkiem, ściągacz u dołu nogawek";"http://lp2.hm.com/hmgoepprod?set=source[/06/8c/068cdd84d6b0b001967fbed2fd9728bcb3412c9b.jpg],origin[dam],category[ladies_trousers_joggers],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/82/61/826156790131747ae3c77016414aaedc75c80a34.jpg],origin[dam],category[ladies_trousers_joggers],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/6b/f8/6bf8eb5cb86c8a8d5b500442fabe889795d7f867.jpg],origin[dam],category[ladies_trousers_joggers],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Tregginsy;10$38$23;"39.9";"Tregginsy z elastycznego diagonalu. Wysoka elastyczna talia, wąskie nogawki";"http://lp2.hm.com/hmgoepprod?set=source[/9c/70/9c701f2953b1616933e83257bfcd60e5c399c4bf.jpg],origin[dam],category[ladies_trousers_leggings],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/56/cc/56cc5a4229a3cb89c94778e621f9926c72a780fc.jpg],origin[dam],category[ladies_trousers_leggings],type[DESCRIPTIVEDETAIL],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/66/76/667627f97a3b2c93d4bafceecc8b46d9881d7a04.jpg],origin[dam],category[ladies_trousers_leggings],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/fullscreen";100
1;Płaszcz z wiązanym paskiem;10$22$21;"229.0";"Tkaninowy płaszcz o lekko drapanej powierzchni. Otwarte klapy, z przodu kryte zatrzaski. Wyjmowany pasek do wiązania w talii. Kieszenie w szwach bocznych, rozcięcie z tyłu. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/a8/b3/a8b317b5127a5864a63fc415c47854c7f6db6682.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/3d/29/3d29f4cb4c80ef1a8a9c11f4043fd7768d8836c3.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/df/cb/dfcb477d9acf1e5c87ef60224aa5aa7188a0a3a3.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Ocieplana parka;10$22$21;"199.0";"Krótka parka z bawełnianej tkaniny. Kaptur z odpinanym obszyciem z imitacji futra i z podszewką. Zapięcie na suwak i listwę z krytymi zatrzaskami. Sznurek w talii i u dołu. Z przodu kieszenie z kontrafałdą, klapką i zatrzaskiem. U dołu rękawów patka z zatrzaskiem, z tyłu rozcięcie. Z podszewką z futerkowego materiału";"http://lp2.hm.com/hmgoepprod?set=source[/35/b9/35b93fb5b9df1dca33e768037da67cf0c13c1470.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/d2/e2/d2e2136f6a415b18af39f927dda4702c57fedc32.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/f7/87/f78787c951cb3f760be8543dcccfa46337f42f5b.jpg],origin[dam],category[ladies_jacketscoats_parkas],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
1;Płaszcz z domieszką wełny;10$22$21;"399.0";"Podkreślający figurę filcowy płaszcz z miękkiej mieszanki zawierającej wełnę. Kołnierz i klapy, z przodu kryte zatrzaski. Wyjmowany pasek wiązany w talii. Kieszenie w szwie bocznym, rozcięcie z tyłu. Z podszewką";"http://lp2.hm.com/hmgoepprod?set=source[/ac/1d/ac1d4ff660a48a8be921c05ee9366625d2e56f3a.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/f7/63/f763ace4008cfb1ff1857b38c84cd6ce76079499.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen"$"http://lp2.hm.com/hmgoepprod?set=source[/26/ac/26ac0ad8ac58bb4aed5633ef8bd839eb312c5741.jpg],origin[dam],category[ladies_jacketscoats_coats],type[LOOKBOOK],hmver[1]&call=url[file:/product/fullscreen";100
